Fthicket of,,This page is for brainstorming abilities. All you need here is a name for the abilitiy and a description of what its function is.,,This column is for developing the actual game text of an ability,,,,,,,,,,,,,,,,,,,,,,,,,
,Category,Ability Name,Ability Description,Rules Text,CP cost,Affinity req,W,U,B,R,G,tot,,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,,NEW AFFINITY,New Aff: X,New Aff: Di,New Aff: Kyle,New Aff: Gabe
0,Maneuver,Goad,"Extra action: Target opponent within your reach whose reach you are within. The next action they take this turn that does not include you as a target provokes an opportunity attack from you. If you attack them, you provoke an opportunity attack from them. If they choose not to make the attack (lacking initiative or otherwise being unable to take such an action, being unaware of you etc doesn't count) you make an intimidate check against them as a nonaction.","Extra action: Target opponent within your reach whose reach you are within. The next action they take this turn that does not include you as a target provokes an opportunity attack from you. If you attack them, you provoke an opportunity attack from them. If they choose not to make the attack (lacking initiative or otherwise being unable to take such an action, being unaware of you etc doesn't count) you make an intimidate check against them as a nonaction.",5,"7R,(9)",,,,2,,2,,5,,,,,,,,,,,,,,,
0,Maneuver,Gouge,Attack that triggers a bleed that hurts on taking actions,"Make an attack, net hits don't contribute to damage. This attack is soaked by physical soak. On a successful hit the target bleeds for NET HITS turns. While bleeding the target takes 2 health damage if they take a move or half action, 4 if they take a full action. Magical healing or a medicine check vs. the remaining turns removes the bleed.",15,"9B,(18)",,,,,,,,15,,,,,,,,,,,,,,,
0,Maneuver,Ground shifting leap,"Leap to a target, cratering the earth in an aoe around","As a full action make a jump, this is treated as a running jump even if you started from a standstill. Upon landing make a STR*2 check against the ground. 
if you surpass its barrier rating you break through and create a HITS/4 *5ft radius hole centered on you, otherwise nothing happens.
Malleable surface: if you fail to surpass the barrier rating (possibly due to the dirt ground being arbitrarily impassable vs. basic attacks for instance) you create a HITS/2 *5ft radius dent that is treated as difficult terrain and force all creatures in the area to make Gymnastics checks against half your STR check or fall prone.",5,"4R,(9)",,,,4,,4,,5,,,,,,,,,,,,3R limited,,,
0,Maneuver,Guide Fate,Spend (5) to let an adjacent ally explode dice or reroll,"You have one fate reroll that you may trigger for an ally for (5) that functions the same a a reroll generated from spending luck. Whenever you would regain a point of luck, this fate reroll refreshes.",15,"16R,(21)",6,,,6,,6,,15,,,,,,,,,,,,5R exclusive,,,
0,Maneuver,Headsman,Attacking technique vs. prone targets. Bonus damage,(5) You may attempt to decapitate a prone target with a melee weapon. The dice rolled for this attack explode and you ignore half the target's armor. ,20,"4B,(15)",,,10,,,10,,20,,,,,,,,,,,,5R open,,,
0,Maneuver,Herding assault,"Hit does reduced damage, force move your target NET HITS
",Net hits do not contribute to damage. This attack is soaked with physical soak. move your target NET HITS if the attack hits.,5,"4(U|G),(6)",,2,,,2,2,,5,,,,,,,,,,,,2R exclusive,,,
0,Maneuver,Hit the Deck,"Drop prone, reroll defense vs indirect AoE","(5)You drop prone. Reroll a defense roll you just made against an indirect area attack, ",5,"WUBRG,(6)",4,4,4,4,4,4,,5,,,,,,,,,,,,2R global,,,
0,Maneuver,Iceblock,Immobilize yourself in protective ice,"(10) Immobilize yourself in a block of ice as an interrupt. The ice has (CAST STAT*2) health and uses your soak pool. The ice disperses when its health reaches zero or you spend a full action to dismiss it. Excess damage beyond the ice's health is dealt as nonlethal to you.
",20,"10U,(21)",,,,,,,,20,,,,,,,,,,,,,,,
0,Maneuver,Inspire Perserverance,Give one/some allies an extra roll to end ongoing effects,"1: full action, one ally may make another roll to end an ongoing effect as if rolling against it for the first time
2: As 1, except as a half action
3: As 2, except with 3 bonus dice. Also; full action, up to CHA allies may make another roll to end an ongoing effect as if rolling against it for the first time.
",10 per,"6W,(12)
",8,,,,,8,,10,20,30,,,,,,,,,,4R limited,,,
0,Maneuver,Last Ditch Evasion,Dodge an attack at all costs,"Trigger this ability as an interrupt at any time during the resolution of an attack you rolled dodge against, but before damage or other consequences have been applied. (Note: you may trigger this ability after you have rolled soak and know the resulting applied DV, but no later). You are treated as having fully dodged the attack. You may not benefit from active defenses until the end of your next turn. You may take no actions until the end of your next turn.",10,"3R,(15)",,,,,,,,10,,,,,,,,,,,,,,,
0,Maneuver,Leaping Flame,"Poof, gone in thin air like a magic trick","Trigger: a creature you are aware of within (twice your speed) resolves an attack against you.
(5) Teleport to a location adjacent to the triggering enemy.",10,"4W,4R,(12)",4,,,4,,8,,10,,,,,,,,,,,,4R exclusive,,,
0,Maneuver,Lend a Distraction,(5) ally's next action doesn't provoke,"(5) to assist an ally with a Con check, producing a distraction for stealth purposes (hits as a penalty to opponent's dicepool), preventing distracted target from being able to take attacks of opportunity...",5,"7(W|R),(9)",6,,,6,,6,,5,,,,,,,,,,,,3R exclusive,,,
0,Maneuver,Looming Strike,Enemy takes damage if it moves after being hit,"Make an attack. Net hits do not contribute to damage. When the enemy moves before the start of your next turn it must soak the modified DV including the net hits.
_______
The enemy must soak the modified DV each time it moves.","15
25","6R,6(B|R),(15)
9R,9(B|R),(24)",,,,,,,,15,40,,,,,,,,,,,,,,
0,Maneuver,Lunge,"Attacking technique with extra range and added movement. Bonus damage, cannot attempt active defense until start of next turn.","At the start of a lunge you may move up to two squares in a straight line, this movement does not provoke attacks of opportunity. You are treated as charging for this attack (+2 dicepool). After attempting a lunge you may not attempt any active defense until the start of your next turn.",5,"4(B|R),(6)",,,4,4,,4,,5,,,,,,,,,,,,2R exclusive,,,
0,Maneuver,Make Time for That,"Spend 1 luck, gain 10 init, spend this only on red abilities","Spend 1 luck, gain 10 init, spend this only on red abilities. Nonaction",5,"7R,(9)",,,,6,,6,,5,,,,,,,,,,,,3R exclusive,,,
0,Maneuver,Mean Green Stompy Machine,+n/+x trample,"Up to cha friendly targets get +6 on all dicepools involving STR or BOD, +6 DV on weapon attacks that scale with STR, ignore enemies' full defense. For each subject this benefit expires at the end of their turn. Extra action (10)",80,"24G,(30)",,,,,,,,80,,,,,,,,,,,,R8-10 G exclusive,,,
0,Maneuver,Mirrored Edge,Consecutive attacks generate additional attacks,"Make an attack with your weapon(s). Then make another attack for each consecutive turn beyond the first you have used this maneuver this round. (ex: third turn in a row, make three attacks). ",40,"15R,(30)",,,,,,,,40,,,,,,,,,,,,what color was this?,,,
0,Maneuver,My body as a shield,(5) take a hit meant for an adjacent ally,(5) When an adjacent ally would next be hit by an attack you are hit by that attack instead.,5,"4W,(6)",2,,,,,2,,5,,,,,,,,,,,,2R exclusive,,,
0,Maneuver,Necropotence,"spend life, boost init","Spend X life and X Drain when rolling initiative, you may reroll all dice of X or lower. Additionally you may pay 4 life and 2 Drain per (5) of the init cost of an action you otherwise do not have initiative for.",30,"14B,(18)",,,12,,,12,,30,,,,,,,,,,,,6R exclusive,,,
0,Maneuver,Ninjutsu Decoy,"Set up a decoy at your position, turn invisible","full action,make a stealth roll and leave behind a convincing decoy. Decoy fades after sustaining one hit. Enemies may see through the decoy with an (OPPOSED CHECK). (COOLDOWN)",15,"9(U|B),(18)
",,6,6,,,12,,30,,,,,,,,,,,,6R limited,,,
0,Maneuver,Noncommital Blow,"if this attack misses, regain a half action","Make an attack, if it misses you regain a half action.",20,R8?,,,,,,,,20,,,,,,,,,,,,,,,
0,Maneuver,Overreaching Parry,Parry an attack targeting an ally within reach,"(5), roll parry for an attack targeting an ally who is within your reach. The ally uses the larger of your parry roll or their own defensive roll.",10,"7W,(9)",,,,,,,,10,,,,,,,,,,,,,,,
0,Maneuver,Painful Precision,Take 2 unresisted lethal damage to add one free hit to a roll,"Take 3 unresisted lethal damage to add one free hit to a roll, before dice are rolled.",15,"14B,(18)",,,6,,,6,,15,,,,,,,,,,,,6r exclusive,,,
0,Maneuver,Phasing,Pass through walls of varying thickness,"As a half action you may fully pass through thin materials and structures up to a few inches thick. Lead and other specific materials cannot be so bypassed. This increases the cost of subsequent phasings by 10 stamina, this cost decays by 1 at the end of each round down to a minimum of 0.
_____________________________________
As previous rank, except you may pass through up to a foot in thickness. Cost increase is 8 instead of 10
_____________________________________
As previous rank, except you may pass through up to 10'. Cost increase is 6 instead of 8
_____________________________________
As previous rank, except the cost increase is 4 instead of 6.


With all ranks, if you fail to fully traverse when phasing you are shunted back out to where you started, taking 2 lethal per foot of distance so displaced (rounded up).",20/25/30/35,"6U,(12)
9U,(18)
12U,(24)
15U,(30)
",,4,,,,4,,20,45,75,110,,,,,,,,,4R/5R/6R/7R limited,,,
0,Maneuver,Pile On,Trigger: an ally sucessfully attacks an enemy you may spend (5) to make an attack on that enemy ,Trigger: an ally sucessfully attacks an enemy you may spend (5) to make an attack on that enemy ,50,"8W,(24)",,,,,,,,50,,,,,,,,,,,,,,,
0,Maneuver,Pinning Strike,"Pin target to nearby surface, harder to remove the larger the weapon is.","You may attempt to pin an enemy to a nearby surface. If you hit, do no damage. Instead the enemy is pinned and must roll grapple or AGI + ESCAPE ARTIST vs. TOTAL HITS + (weapon size modifier) to escape. Every successive check gains 1 free hit to escape.
_____________________________________
As previous rank, except the target takes damage on hit and on escaping. Net hits do not contribute to damage on the initial attack.
_____________________________________
As previous rank, except you may target multiple adjacent enemies, Impaling them together instead of to a surface. Net hits do not contribute to damage on the initial attack. Each victim of the pin must roll to escape separately, their success does not affect the other victims.",5/10/10,"4(R|B),(6) per",,,4,4,,4,,5,15,25,,,,,,,,,,2R/4R/6R exclusive?,,,
0,Maneuver,Prescient Teleport,Teleport anytime you damn well please,(5) as a nonaction at any time. Resolve one of your teleportation abilities.,40,"19U,(24)",,,,,,,,40,,,,,,,,,,,,R8 exclusive?,,,
0,Maneuver,Pro X,Grant (+dice) protection from color,Grant (+RANK) protection from color. Color selection is locked upon purchase of this ability. This benefit lasts for one minute or until you conffer Pro X on another target. half Action,10 per,"4W,(6) per",3,,,,,3,,10,20,30,40,50,60,,,,,,,2R per Exclusive?,,,
0,Maneuver,Rain of Arrows,You can attack an area with arrows,"You can target up to AGI continguous squares with simultaneous ranged attacks, roll one attack roll at -6 dicepool and apply it to each target.",10,"7G,(9)",,,,,6,6,,10,,,,,,,,,,,,3R exclusive?,,,
0,Maneuver,Rain of Steel,"Spend extra initiative, become a maelstrom of weaponry for one round",full action. (5) All enemies within reach are subject to a melee attack from you at -5 dicepool. All enemies treat the area covered by your reach as difficult terrain. All enemies outside your reach that enter while Rain of Steel continues are subject to a single attack at -5. You are treated as on full parry while Rain of Steel persists. Rain of steel lasts until the end of the round.,30,"6W,8(W|R|G),(18)",8,,,8,8,12,,30,,,,,,,,,,,,6R exclusive,,,
0,Maneuver,Reactive Block,"You may attempt a free block against enemies you have attacked in melee previously this round
",Once per round you may attempt a block at (0) against an enemy you have attacked this round.,15,"4W,(9)",6,,,,,6,,15,,,,,,,,,,,,R3 Limited,,,
0,Maneuver,Rebirth,Touched willing creature is encapsulated in a protective cocoon to prepare for administering amplified healing spells.,"Touched willing creature is encapsulated in a protective cocoon. They can only be targeted by healing effects through the cocoon for the duration, which are at double efficiency. This maneuver may be triggered for a nonaction as part of administering a healing effect.
When inside the cocoon the creature is unconscious, unaware of its surroundings or the passage of time.

Cocoon duration: 1 minute
Cocoon barrier rating: 10
Cocoon Health: 2x CHA",10,"14(W|G),(27)",,,,,,,,10,,,,,,,,,,,,,,,
0,Maneuver,Reckless Swing,"Take dice pool penalty to improve damage, or shave off enemy's dodge pool","For every -2 penalty you take when attacking with this maneuver add +1 to the damage value of the attack, up to +AGI",15,"9(B|R),(12)",,,6,6,,6,,15,,,,,,,,,,,,R4 exclusive,,,
0,Maneuver,Red Rover,Group charge,Make a charging attack. Allies can spend (10) to also make a charging attack as an interrupt. If you spend (10) the cost for allies joining the charge becomes (5). Resolve all attacks after you and all allies have moved. ,5,"4W,4R,(12)",4,,,4,,8,,5,,,,,,,,,,,,R4 Exclusive,,,
0,Maneuver,Redirect,Spend (5) after counterspelling to redirect spell,Spend (5) after counterspelling to redirect spell,5,"7U,(9)",,6,,,,6,,5,,,,,,,,,,,,R3 Exclusive,,,
0,Maneuver,Retalliatory Strike,Retalliate when struck in melee,"(5) when hit, you may make an attack against the opponent that struck you in melee.",15,"7(W|B),(9)",6,,6,,,6,,15,,,,,,,,,,,,R3 exclusive,,,
0,Maneuver,Revivify,"Spend luck, restore a recently deceased creature to life.","Spend (2L), heal an ally for CAST STAT*2 without inflicting healing drain. This effect can be used on creatures that have died within the past round, returning them to life if the healing is sufficient to remove excess overflow. This effect requires you to be touching the target.",20,"9W,(18)",12,,,,,12,,20,,,,,,,,,,,,R6 limited,,,
0,Maneuver,Second Chance,"Spend luck points, rewind turn",Spend 3L as an interrupt. Rewind your turn.,20,"3(U|R),(18)",,12,,12,,12,,20,,,,,,,,,,,,R6 Open,,,
0,Maneuver,Second Wind,Generate temp hp,half action. Roll BOD + WIL. For every hit you gain 1 temp hp.,5,"4(W|G),(6)",4,,,,4,4,,5,,,,,,,,,,,,R2 Exclusive,,,
0,Maneuver,Shield Counter,"When an enemy strikes, bash him in the face first",(5) when wielding a shield and an enemy in melee range is making an attack with your shield. The damage from the attack is the Target Number for the physical resist roll the enemy must make. If they fail the physical resist check their attack resolves as a miss.,5,"7W,(9)",6,,,,,6,,5,,,,,,,,,,,,R3 exclusive,,,
0,Maneuver,Shifting Synapse,You may use your physical resist in place of your mental resist at a cost,You may spend an additional (5) when rolling mental resistance to use your physical resistance instead.,30,"8U,8G,(21)",,,,,,,,30,,,,,,,,,,,,,,,
0,Maneuver,Smothering Grapple,Grapple vs. phys res,"Make a melee attack roll to grapple. 
Resist: Physical res
Soak: Physical soak
eDV = STR
1+ unsoaked eDV yields grapple",15,"2R,2G,(9)",,,,,,,,15,,,,,,,,,,,,,,,
0,Maneuver,Spatial Slip,"boost dodge, teleport after dodge roll","spend an additional (5) as part of a dodge. Gain +5 dice, after resolving the dodge you may trigger one of your Extra action teleportation abilities as a nonaction.",10,"9U,(18)
",,12,,,,12,,5,,,,,,,,,,,,R6 Limited,,,
0,Maneuver,Spell Reflection,Spend (5?10?) when successfully resisting a spell to redirect it,"Spend (5) when you successfully resist a direct spell to choose a new target for the spell, resolving it as if cast by the original caster.",10,"9(U|R),(12)",,8,,8,,8,,10,,,,,,,,,,,,R4 Exclusive,,,
0,Maneuver,Spread shot,You may attack multiple opponents as part of a single ranged attack,"Make a ranged attack against however many targets you choose in a 90 degree cone within your first range increment, splitting your dicepool among all targets.
",5,"2(R|G),(6)",,,,,,,,5,,,,,,,,,,,,,,,
0,Maneuver,Spring up,Stand up as Extra action,Stand up as Extra action that does not provoke attacks of opportunity. All your jumps are treated as having a running start.,4,"2(R|G),(3)",,,,2,2,2,,4,,,,,,,,,,,,R1 exclusive,,,
0,Maneuver,Stalwart Vanguard,"You always go last during an initiative pass, gain (armor?)","You may opt to act last in an initiative pass before initiative is rolled. If multiple creatures would act last, tiebreak as usual with actual initiative rolls, then REA and finally LUK. Gain +1 armor soak per rank until the start of the next initiative pass.",30 per,"4G,(6)
9G,(12)
14G,(18)
19G,(24)
24G,(30)",2,,,,2,2,,30,60,90,120,150,,,,,,,,R1-> exclusive,G,,
0,Maneuver,Stay death,Target ally (gains + on atk and ignores one lethal blow) until next initiative roll.,"full action. One ally within (CHA*10 ft) gains 1 die on all attack rolls. Negate the damage from the next attack that would reduce the subject's health to or below zero, if this occurs the die bonus ends. 
1L Trigger this ability as an interrupt.
These benefits last until the next initiative roll.",10,"7(W|B),(15)",8,,8,,,8,,10,,,,,,,,,,,,R5 limited,,,
0,Maneuver,Stun Punch,"Make a melee attack, stun chance. Can be used in grapple.","phys soak
0: no stun
1: target can either move or take other actions on its next turn, not both
9: target loses its next turn
15+: target is stunned until the end of its next turn",15,"10W,(21)",,,,,,,,15,,,,,,,,,,,,,,,
0,Maneuver,Sunflask,"Prepare (number) heals at dawn, heals WHITE characters for more","Prepare (WIL) flasks at dawn. A character who consumes a flask rolls 4xBOD (or the creator of the sunflask rolls first aid) and heals up to that many hits, taking drain as normal for magical healing. You gain +4 to the check if the recipient is a WHITE character.",10,"4W,(9)
",6,,,,,6,,10,,,,,,,,,,,,R3 limited,,,
0,Maneuver,Surge of Resilience,IRON HEART SURGE THE SUN,"(5) or Extra action, make another roll against a debilitating condition (i.e. stun) as if you were resisting it the first time. Success removes the condition.",15,"4(W|G),(9)",8,,,,8,8,,15,,,,,,,,,,,,R3 limited (open?),,,
0,Maneuver,Tactical Surge,"1L, use a white maneuver immediately as though it was an interrupt.","1L, use a white maneuver immediately as though it was an interrupt.",10,"9W,(12)",8,,,,,8,,10,,,,,,,,,,,,R4 Exclusive,,,
0,Maneuver,Temporal Extortion,"Spend life, take your next turn","Spend 4 life during your turn (nonaction), you act again after the end of this turn if you have the initiative to do so  ",15,"12B,(15)",,,10,,,10,,15,,,,,,,,,,,,R5 limited (exclusive?),,,
0,Maneuver,Thunderous Impact,"Can attack multiple opponents at range with thrown heavy weapon. AOE = STR + (3 if weapon is 2h) + rank
Targeted area becomes difficult terrain if damage threshold is met. (Damage value + rank ≥ threshold)
","(5) Can attack multiple opponents at range with thrown heavy weapon. AOE = (STR + (3 if weapon is 2h) + rank) ft
Targeted area becomes difficult terrain if damage threshold is met. (Damage value + rank ≥ threshold)
",10,"7(R|G),(15)",,,,10,10,10,,10,,,,,,,,,,,,R4-5 limited,,,
0,Maneuver,Time Dilation,boost later init,"Next round, maximize all your initiative dice. You can spend 1 luck point to trigger this ability as an interrupt in response to the start of a round (before initiative is rolled).",60,"15U,(30)",,20,,,,20,,60,,,,,,,,,,,,R10 exclusive?,,,
0,Maneuver,Toss,"toss creature, deal damage or enable ally to make attack","1. You must have an enemy grappled or a willing adjacent ally
2. Make a ranged attack with 1(ranges)
3. If enemy, base damage = (?body). If ally, your net hits contribute to the dice pool on their attack
",5,"7R,(9)",,,,6,,6,,5,,,,,,,,,,,,R3 exclusive,,,
0,Maneuver,Trick shot,"Not bending bullets, but you can shoot around corners n such",At one point during the trajectory of your projectile you may have it take up to one 90 turn.,5,"7(R|G),(9)
",,,,6,6,6,,5,,,,,,,,,,,,R3 exclusive,,,
0,Maneuver,Triumphant Shout,Mass intimidate on knockout/kill,(5) as a nonaction after your attack renders a creature dead or disabled. You may attempt an intimidation check against all opponents that can see both you and the aforementioned victim.,5,"7(R|G),(9)",,,,6,6,6,,5,,,,,,,,,,,,R3 exclusive,,,
0,Maneuver,Twin Strike,Hit simultaneously with two weapons,(10) Make two attacks at full dice pool against single target. On one hit apply damage as normal. On two hits apply half the net hits of the lower net hit roll to the higher roll and apply that as damage..,20,"12(W|R),(15)
",,,,8,,8,,20,,,,,,,,,,,,R5 Exclusive,,,
0,Maneuver,Twist the Blade,Followup attack if you strike an enemy that was not actively defending.,"Trigger: an enemy takes damage from your light weapon melee attack and was not actively defending. Spend (5) as a nonaction. Make another attack with the same weapon at half base DV, this attack cannot be actively defended against, this attack has 50% armor penetration.  
",20,"7B,(15)
",,,,,,,,20,,,,,,,,,,,,,,,
0,Maneuver,Unsettle,"Startle an enemy out of their action, but they act swiftly afterwards","half action. Target an enemy. The next half or full action they attempt before your next turn triggers an attack from you. This attack does no damage on a successful hit, instead negating their action. On their next turn the enemy gains 15 initiative (regardless of hit or miss).",15,"7(B|G),(15)",,,,,,,,15,,,,,,,,,,,,,,,
0,Maneuver,Vanguard Strike,"You lead the attack, your allies becoming more effective at helping you focus a target down.","Make a melee attack, net hits don't contributeto damage. The target is marked on hit and all allies attacking the marked target gain +1 hits when attacking the target. You may only have one target marked by vanguard strike at a time, striking a new target changes the target. The target is no longer marked at the end of the next round.",5,"12W,(15)",10,,,,,10,,5,,,,,,,,,,,,R4/5 exclusive?,,,
0,Maneuver,Vault,Target is enchanted with the powers of flight for the round,half Action. One ally within (RANGE) gains a fly speed equal to their movement speed until the end of the round.,25,"8(U|R|B|W),(9)",,6,,,,6,,5,,,,,,,,,,,,R3 exclusive,,,
0,Maneuver,War stomp,"Str check vs. balance checks, knock enemies prone in AoE or stagger.",Roll 2 * STR. All enemies within (STR/2) squares must roll higher on AGI + Gymnastics or be knocked prone. ,10,"7G,(9)",,,,,6,6,,10,,,,,,,,,,,,R3 exclusive,,,
0,Maneuver,Warden's Strike,Attack reduces victim's initiative. ,Make an attack. Net hits do not contribute to damage. Deal net hits as initiative damage instead. ,10,"6W,6U,(15)",,,,,,,,10,,,,,,,,,,,,,,,
0,Maneuver,Warning Blow,Target must take active defense if able,"Make an attack with your weapon, the target must actively defend if able.",5,"5(U|R),5(U|G),5(R|G),(21)",,,,,,,,5,,,,,,,,,,,,,,,
0,Maneuver,Weather the blow,"Spend initiative, gain damage dampening reactively against one hit","(5) as an interrupt, gain damage dampening equal to your BODY against one attack.",10,"7(W|G),(9)",6,,,,6,6,,10,,,,,,,,,,,,R3 exclusive,,,
0,Maneuver,Whirlwind attack,Cleave 360,"You may attack any number of enemies in the one attack splitting your full dicepool among them. (Note that reach is an attack modifier and not innate to the dicepool, thus it is added to every attack after the dicepool has been split)
________________________
As previous rank, but you also gain the option to spend (10) Attack all enemies within reach.","5, 10","4(W|R|G),(6)
9(W|R|G),(12)
",,,,4,,4,,5,15,,,,,,,,,,,"R2,R4 exclusive",,,
0,Maneuver,zurgo Smash!,attack a random adjacent enemy at increased potency,When threatening two or more enemies make an attack against a randomly determined target at +2 DV.,10,"3R,(12)",,,,,,,,10,,,,,,,,,,,,,,,
0,"Maneuver
",Luck of the Hour,spend init in place of luck,"You may spend (10) per (L) for abilities that cost (L)
 instead of their normal cost",10,"9R,(18)",,,,,,,,10,,,,,,,,,,,,R6 R limited?,,,
0,Maneuver ,Balance of Body and Soul,"Convert drain into health/stam, roll to purge a condition","half action. You may spend 1 drain to heal 2 stamina or health. Make another roll against an ongoing condition, adding half your WIL or BOD (your choice) to the roll.",20,"3U,3G,(15)",,,,,,,,20,,,,,,,,,,,,,,,
0,Manuever,Mcguiver,"For better or for worse, things seem to unexplicably break or work when you mess with them",You may attempt to fix or break mechanical and/or magical devices such as locks or crystal balls.  Who knows what will happen!,5,"7(U|R),(9)
",,6,,6,,6,,5,,,,,,,,,,,,R3 exclusive,,,
0,Manuever,Revitalize,Remove debuff on ally to trigger buff,"full action. Target ally rolls again against all ongoing debuffs, one at a time, adding the new roll against that debuff to all prior rolls made for resisting that debuff. Roll against one debuff at a time,  stopping if this ability causes a debuff to be removed or if all debuffs are rolled against once. If this ability removes a debuff the target gains +4 dice on the next action they take during their next turn.",20,"5W,5G,(21)",,,,,,,,20,,,,,,,,,,,,,,,
0,Mark,Bond of Pursuit,"Mark enemy, pursue and punish their ignorance of you in combat.","As a Extra action you may mark a target within (CHA*5)ft with your Bond of Pursuit. This mark persists for 24 hours or until the subject is slain. You may only have one subject marked at a time and cannot mark another while an older mark exists.
Any mode of movement that takes the subject away from you while the subject is within your reach provokes an intercept at (0) before the movement is resolved. You may shift as a nonaction to follow the subject after it has moved, or teleport as a nonaction if you possess capabilities at least matching that of the subject. ",15,"7(W|R|G),(9)
",6,,,6,6,6,,15,,,,,,,,,,,,R3 exclusive,,,
0,Mark,Vendetta,"Declare vendetta target, bonus vs. them, penalties vs. other targets. Delay on new vendetta target if you fail to slay current one.","Nonaction. Spend (1) luck to declare a vendetta against a target within (RANGE). Gain 1 free hit on all attacks against that target while it is subject to your vendetta. It gains 1 free hit on all attacks against you while it is subject to your vendetta. Your vendetta ends when the target falls unconscious, you fall unconscious, or you spend (1) luck to change the target of your vendetta.",10,"7B,7(B|R),(18)
",0,0,12,12,0,12,,10,,,,,,,,,,,,R6 exclusive,BR,,
0,Metamagic,Caustic demise,Enemies killed by your acid abilities explode ,Enemies killed by your acid abiilities explode for (initial DV of effect that delivered the killing blow) damage to adjacent enemies,30,"9(B|G),(12)",,,8,,8,8,,30,,,,,,,,,,,,R4 exclusive,,,
0,Metamagic,Centering Technique,"By spending longer to cast a spell, you reduce the drain that spell has on you.  You gain the ability to cast a spell over multiple rounds.","You may extend the casting duration of a spell by a multiple of its base casting action. For each increment add half your WIL to the drain dicepool for this casting, up to a total of 2*WIL contributed by this ability. For each interval you can increase the FORCE of the spell by up to 1 over the normal maximum FORCE to a cap of 1.5x CAST STAT. Casting at FORCE above your normal maximum causes drain damage to be physical instead of stamina damage.

Possessing this ability removes WIL from your drain soak pool for all spells not cast with centering technique.",0,"WUBRG,(0)",0,0,0,0,0,0,,0,,,,,,,,,,,,R0 global,,,
0,Metamagic,Contingency,Invest luck into holding spell until chosen trigger,"Spend 1 Luck, you can’t regain this point of luck while you have an active contingency. Cast a spell to be your contingency, noting your current dicepool and other parameters, resisting drain when creating this contingency. Set a condition under which the contingency will trigger...",30,"10U,(21)",,14,,,,14,,30,,,,,,,,,,,,R7 limited,,,
0,Metamagic,Delayed Enhancement,You may delay the effects of a buff to begin at the start of the next round.,You may delay the effects of a buff to begin at the start of the next round by spending a Extra action as part of the action of activating the buff effect.,5,"9(W|U|G),(12)",,,,,,,,5,,,,,,,,,,,,R4 exclusive,,,
0,Metamagic,Echoing spell,"Increase spell drain by 3, spell can be recast within one round as a nonaction on your turn","You may Increase a spells drain by 3.  If you do, the spell can be recast as a nonaction on your next turn, drain is not rolled for this recast.",10,"7U,7(W|U),(18)
",6,12,,,,12,,10,,,,,,,,,,,,R6 exclusive,,,
0,Metamagic,Fork,Cast a copy of a spell being cast,"Spend (15), cast another copy of the spell",10,"7R,(9)",,,,6,,6,,10,,,,,,,,,,,,R3 exclusive,,,
0,Metamagic,Frostborn,Deal 1 damage when your cold effects would reduce an opponent's initiative below zero,"When your Cold effect would reduce an opponent's initiative to a value equal to or below 0 you also deal 2 cold damage, this ability cannot trigger itself. ",15,"3B,3U,(15)",,5,5,,,10,,15,,,,,,,,,,,,R5 limited,,,
0,Metamagic,Guiding Nimbus,You may imbue your radiant attacks with lingering brilliance that enables allies to better strike the target,Before rolling a radiant damage attack you may decrease your DV by 4. On a successful hit the target is illuminated with a Guiding Nimbus until the end of the round. Allies suffer no vision penalties to strike the target and gain superior ground when attacking targets afflicted with Guiding Nimbus.,10,"9W,(18)",,,,,,,,10,,,,,,,,,,,,,,,
0,Metamagic,Irresistible Spell,"(5) as a cost when casting spell, this spell cannot be countered","(5) as a cost when casting spell, this spell cannot be countered",10,"4G,(9)",,,,,6,6,,10,,,,,,,,,,,,R3 limited,,,
0,Metamagic,Lightning Rod,You can choose for your lightning damage to apply a static charge instead of potentially inflicting a stun. Reduce enemies lightning resistance by 1 for each static charge. You can consume charges to increase the DC of a stun you are attempting to inflict. You can consume charges for your lightning damage to chain.,"You can choose for your lightning damage to apply a static charge instead of potentially inflicting a stun. Reduce enemies lightning resistance by 2 for each static charge. You can consume charges to increase the DC of a stun you are attempting to inflict by +1 for each charge. You can consume charges for your lightning damage to chain (3 charges per additional target, targets of the initial effect cannot be targets of the chain).  ",15,"4U,4R,(18)",,6,,6,,12,,15,,,,,,,,,,,,R6 limited,,,
0,Metamagic,Lingering (SPELL SCHOOL),Sustained spells of chosen school persist for up to RANK rounds after you stop sustaining them,Sustained spells of chosen school persist for up to RANK rounds after you stop sustaining them,30/40/50,"7U,(9)",,6,,,,6,,30,70,120,,,,,,,,,,R3/R6/R9 exclusive,,,
0,Metamagic,Mass combustion,Enemies you set alight have a chance to set adjacent enemies alight each turn,"For enemies that you cause to burn, at the start of their turn adjacent enemies must resist the current flame intensity with Armor Soak or catch on fire.
",15,"9R,(12)",,,,8,,8,,15,,,,,,,,,,,,R4 exclusive,,,
0,Metamagic,Multicast,"Multispelling bonus, limit drain increase, extra dice",You do not suffer increased drain for casting multiple spells in one action. Gain +1 dice to each spellcasting roll when multicasting. Applying this metamagic takes your Extra action.,20,"7(U|R),(15)",,10,,10,,10,,20,,,,,,,,,,,,R5 limited,,,
